Species;Treatment;Site;Block;Plot;Tree_ID;Family;DBH;Height;Sampled_density;Chave_local;Nogueira_local;Literature_density;Chave_literature;Nogueira_literature;sp
Senegalia polyphylla;SAFT;2;3;1;699;Fabaceae;10.2;9.2;0.6806;37.53;51.18;0.6279;34.69;46.92;29
Senegalia polyphylla;SAFM;2;3;1;721;Fabaceae;24.6;12.1;0.6806;272.40;358.55;0.6279;251.78;328.71;29
Urera baccifera ;CMLT;1;2;2;1360;Urticaceae;10.7;5.3;0.2298;8.34;14.58;0.1650;6.03;10.20;30
Urera baccifera ;SAFM;1;2;2;7462;Urticaceae;11.1;6.6;0.2298;11.09;16.97;0.1650;8.03;11.88;30
Urera baccifera ;SAFM;1;2;2;7478;Urticaceae;10.4;7.3;0.2298;10.78;15.31;0.1650;7.80;10.71;30
Urera baccifera ;SAFM;1;2;2;7479;Urticaceae;16.2;7.5;0.2298;26.29;39.36;0.1650;19.02;27.55;30
Urera baccifera ;SAFM;1;2;2;7480;Urticaceae;14.3;6.4;0.2298;17.70;28.75;0.1650;12.81;20.13;30
Urera baccifera ;SAFM;1;2;2;7482;Urticaceae;12;7.4;0.2298;14.44;20.80;0.1650;10.45;14.56;30
Zeyheria tuberculosa;SAFT;1;3;2;3223;Bignoniaceae;15.2;13.9;0.5570;100.58;110.12;0.6800;122.20;136.51;31
Zeyheria tuberculosa;SAFT;1;3;2;3224;Bignoniaceae;14.9;14.9;0.5570;103.53;108.10;0.6800;125.79;134.02;31
Zeyheria tuberculosa;SAFM;1;3;1;3230;Bignoniaceae;13.7;13.3;0.5570;78.66;87.12;0.6800;95.57;108.01;31
Zeyheria tuberculosa;SAFM;2;1;1;38;Bignoniaceae;14.6;11.2;0.5570;75.30;93.98;0.6800;91.49;116.51;31
Zeyheria tuberculosa;SAFT;2;2;2;383;Bignoniaceae;13.7;12.6;0.5570;74.61;85.53;0.6800;90.65;106.04;31
Zeyheria tuberculosa;CMLM;2;2;2;539;Bignoniaceae;11.6;8.5;0.5570;36.72;52.67;0.6800;44.61;65.29;31
;;;;;;;;;;;;;;;
