treatment,site,block,plot,tree_id,family,scientific_name,height_m,DBH1_cm,DBH2_cm,DBH3_cm,DBH4_cm,DBH5_cm,DBH6_cm,DBH7_cm,DBH8_cm,DBH9_cm,DBH10_cm,DBH11_cm
SAFT,1,2,2,1793,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,9.3,6.4,,,,,,,,,,
SAFT,1,2,2,1794,Apocynaceae,Tabernaemontana hystrix Steud.,9.4,12.8,,,,,,,,,,
SAFT,1,2,2,1795,Fabaceae,Pterogyne nitens Tul.,19.1,28.6,25.7,,,,,,,,,
SAFT,1,2,2,1796,Fabaceae,Mimosa caesalpininiifolia Benth.,14.8,14.8,15.7,20.4,10.9,9.5,18.3,,,,,
CON,1,3,1,1797,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,5.0,5.7,2.5,,,,,,,,,
SAFT,1,2,2,1797,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,6.3,7.5,,,,,,,,,,
SAFT,1,2,2,1798,Fabaceae,Pterogyne nitens Tul.,17.8,41.2,17.8,,,,,,,,,
CON,1,3,1,1798,Fabaceae,Platypodium elegans Vogel,12.9,35.9,,,,,,,,,,
CON,1,3,1,1799,Fabaceae,Enterolobium contortisiliquum (Vell.) Morong,14.8,27.9,,,,,,,,,,
SEM,1,2,1,1962,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,5.5,8.5,5.4,5.8,,,,,,,,
SEM,1,2,1,1963,Apocynaceae,Tabernaemontana hystrix Steud.,6.4,5.4,9.5,,,,,,,,,
SEM,1,2,1,1964,Fabaceae,Lonchocaspus cultratus,17.8,24.1,,,,,,,,,,
SEM,1,2,1,1965,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,6.0,7.3,,,,,,,,,,
SEM,1,2,1,1966,Fabaceae,Lonchocaspus cultratus,15.5,18.2,,,,,,,,,,
SEM,1,2,1,1967,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,4.4,9.1,6.1,7.2,5.1,,,,,,,
SEM,1,2,1,1968,Fabaceae,Lonchocaspus cultratus,8.9,13.7,,,,,,,,,,
SEM,1,2,1,1969,Fabaceae,Lonchocaspus cultratus,6.2,9.9,,,,,,,,,,
SEM,1,2,1,1970,Fabaceae,Lonchocaspus cultratus,7.5,9.8,,,,,,,,,,
SEM,1,2,1,1971,Fabaceae,Lonchocaspus cultratus,13.2,21.5,,,,,,,,,,
SEM,1,2,1,1972,Fabaceae,Lonchocaspus cultratus,15.6,18.3,,,,,,,,,,
SEM,1,2,1,1973,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,5.4,7.5,,,,,,,,,,
SEM,1,2,1,1974,Fabaceae,Lonchocaspus cultratus,9.4,10.5,,,,,,,,,,
SEM,1,2,1,1975,Fabaceae,Lonchocaspus cultratus,12.3,13.9,,,,,,,,,,
SEM,1,2,1,1976,Fabaceae,Schizolobium parahyba (Vell.) Blake,22.7,58.2,,,,,,,,,,
SEM,1,2,1,1977,Anacardiaceae,Schinus terebinthifolia Raddi.,22.7,6.4,,,,,,,,,,
SEM,1,2,1,1978,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,5.7,6.4,7.6,5.7,,,,,,,,
SEM,1,2,1,1979,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,8.3,9.1,,,,,,,,,,
SEM,1,2,1,1980,Fabaceae,Lonchocaspus cultratus,17.4,25.3,,,,,,,,,,
SEM,1,2,1,1981,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,3.5,5.0,,,,,,,,,,
SEM,1,2,1,1982,Caricaceae,Vasconcellea quercifolia A.St.-Hil.,5.0,6.0,,,,,,,,,,
SEM,1,2,1,1983,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,8.8,10.1,,,,,,,,,,
SEM,1,2,1,1984,Fabaceae,Schizolobium parahyba (Vell.) Blake,17.9,31.2,,,,,,,,,,
SEM,1,2,1,1985,Fabaceae,Lonchocaspus cultratus,9.8,13.7,,,,,,,,,,
SEM,1,2,2,1986,Euphorbiaceae,Croton floribundus Spreng.,6.6,5.4,,,,,,,,,,
SEM,1,2,2,1987,Fabaceae,Schizolobium parahyba (Vell.) Blake,19.7,48.0,,,,,,,,,,
SEM,1,2,2,1988,Fabaceae,Schizolobium parahyba (Vell.) Blake,16.1,19.4,,,,,,,,,,
SEM,1,2,2,1989,Fabaceae,Schizolobium parahyba (Vell.) Blake,21.0,48.3,,,,,,,,,,
SEM,1,2,2,1990,Fabaceae,Lonchocaspus cultratus,5.6,8.0,,,,,,,,,,
SEM,1,2,2,1991,Fabaceae,Lonchocaspus cultratus,20.1,25.5,,,,,,,,,,
SEM,1,2,2,1992,Fabaceae,Lonchocaspus cultratus,7.7,10.7,,,,,,,,,,
SEM,1,2,2,1993,Fabaceae,Bauhinia forficata Link,6.2,8.7,,,,,,,,,,
SEM,1,2,2,1994,Fabaceae,Lonchocaspus cultratus,13.8,17.0,,,,,,,,,,
SEM,1,2,2,1995,Solanaceae,Solanum argenteum Dunal,4.9,5.7,,,,,,,,,,
SEM,1,2,2,1996,Euphorbiaceae,Croton floribundus Spreng.,7.2,5.7,,,,,,,,,,
SEM,1,2,2,1997,Fabaceae,Schizolobium parahyba (Vell.) Blake,19.6,46.5,,,,,,,,,,
SEM,1,2,2,1998,Euphorbiaceae,Croton floribundus Spreng.,5.6,5.2,,,,,,,,,,
SEM,1,2,2,1999,Euphorbiaceae,Croton floribundus Spreng.,13.3,18.1,,,,,,,,,,
SAFM,1,1,1,2000,Apocynaceae,Aspidosperma polyneuron Müll. Arg.,6.6,7.4,,,,,,,,,,
SAFM,1,1,1,2001,Fabaceae,Hymenaea courbaril L.,12.3,13.3,,,,,,,,,,
SAFM,1,1,1,2002,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,19.0,26.3,,,,,,,,,,
SAFM,1,1,1,2003,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,12.3,14.2,,,,,,,,,,
SAFM,1,1,1,2004,Fabaceae,Enterolobium contortisiliquum (Vell.) Morong,3.6,5.7,,,,,,,,,,
SAFM,1,1,1,2005,Fabaceae,Pterogyne nitens Tul.,19.5,32.1,,,,,,,,,,
SAFM,1,1,1,2006,Meliaceae,Cedrela fissilis Vell.,8.8,13.7,,,,,,,,,,
SAFM,1,1,1,2007,Fabaceae,Hymenaea courbaril L.,18.2,18.5,,,,,,,,,,
